DATE,INV_NO,CODE,NAME,UNIT PRICE,Q,TOTAL/B/V,DISC,VAT,TOTAL,STATEMENT,supplier,NOTES
9/5/2023,"4,999",SP001959,SERVICE,1086,1,1086,0,162.9,1248.9,P3,ARCOMA,0
9/5/2023,"4,999",SP001959,SERVICE,444,3,1332,0,199.8,1531.8,P3,ARCOMA,0
9/5/2023,"19,871",SP001758,SAFETY&REQUIRES,550,1,550,0,82.5,632.5,SAFETY,MAJD_ALMAALI,0
9/7/2023,"16,159",SP001670,"STATIONARY,REQUIREMENTS",356,1,356,0,53.4,409.4,STATIONARY,SALEH_TRADING,0
9/7/2023,"22,178",SP001738,CEMENT,55,1,55,0,8.25,63.25,P2,FATIMA_ALI,0
9/7/2023,"22,178",SP001588,CRACK FILLER SAVETO,18.5,3,55.5,0,8.325,63.825,P2,FATIMA_ALI,0
9/7/2023,"14,991",SP001740,Fs COUPLING CL-3000NPT�� 1�����������������������������������������������������������������,16.5,12,198,0,29.7,227.7,P3,FIRST_FOUNDATION,0
9/7/2023,"14,990",SP001696, CS ELBOW DCH40-90 DEG 3,26,50,1300,0,195,1495,P3,FIRST_FOUNDATION,0
9/7/2023,"14,990",SP001697, CS CONC RED SCH40-2X2-1/2,22,5,110,0,16.5,126.5,P3,FIRST_FOUNDATION,0
9/7/2023,"19,940",SP001741,GRINDING DISC 115MMXDANMULLER����������������������������������������������� ,3.4,500,1700,0,255,1955,TASLEH,MAJD_ALMAALI,0
9/7/2023,"19,940",SP001064,"paint roller 9""",7.5,50,375,0,56.25,431.25,TASLEH,MAJD_ALMAALI,0
9/7/2023,"19,940",SP001613,PAINT ROLLER HANDLE BIG ,4,5,20,0,3,23,TASLEH,MAJD_ALMAALI,0
9/9/2023,"19,961",SP001758,SAFETY&REQUIRES,960,1,960,0,144,1104,SAFETY,MAJD_ALMAALI,0
9/9/2023,"16,184",SP001758,SAFETY&REQUIRES,257,1,257,0,38.55,295.55,SAFETY,SALEH_TRADING,0
9/9/2023,"81,665",SP001758,SAFETY&REQUIRES,500,1,500,0,75,575,SAFETY,HASSAN_SALEH,0
9/11/2023,"2,330,105,303",SP001959,SERVICE,260,1,260,0,39,299,NEW_LAND,NOURAS_ALSHARQ,0
9/11/2023,"16,215",SP001670,"STATIONARY,REQUIREMENTS",101,1,101,0,15.15,116.15,STATIONARY,SALEH_TRADING,0
9/11/2023,"81,711",SP001754,CLEAR HOSE 10MMX50MTR      ,100,1,100,0,15,115,P3,HASSAN_SALEH,0
9/11/2023,"81,711",SP001709,4� U BOLT-WITH WASHER-2,6,4,24,0,3.6,27.6,P3,HASSAN_SALEH,0
9/13/2023,"19,984",SP001758,SAFETY&REQUIRES,1253.5,1,1253.5,0,188.025,1441.525,SAFETY,MAJD_ALMAALI,0
9/13/2023,"37,903",SP000234, TYRE COUPLING ,145,10,1450,0,217.5,1667.5,P3,INDUSTRIAL SUPPLY,0
9/13/2023,"13,010",SP001576,FUEL FILTER,139,5,695,0,104.25,799.25,P2,AMDAD_AL_DAMMAM,0
9/13/2023,"13,010",SP001576,FUEL FILTER,165,5,825,0,123.75,948.75,P2,AMDAD_AL_DAMMAM,0
9/13/2023,"13,010",SP000928,Forklift Oil Filter,70,5,350,0,52.5,402.5,P2,AMDAD_AL_DAMMAM,0
9/13/2023,"10,691",SP001763,SHOWER MIXER,75,3,225,0,33.75,258.75,ACCOMODATION,GHADAH_FARES,0
9/13/2023,"56,489",SP001670,"STATIONARY,REQUIREMENTS",52.17,1,52.17,0,7.8255,59.9955,STATIONARY,SMART_CITY,0
9/13/2023,"232,395",SP001760,"WATER HOSE 1.5"" 30MTR",750,1,750,0,112.5,862.5,P2,MOHAMED_ALAWANI,0
9/13/2023,"32,983",SP000246,WELDING SHIELD ,28,2,56,0,8.4,64.4,P2,KHALID_NEHAR,0
9/13/2023,"32,983",SP001713,PAINT MARKER BLACK,3.33,12,39.96,0,5.994,45.954,STATIONARY,KHALID_NEHAR,0
9/13/2023,"32,983",SP001753,ac insulation black tape                                              ,2.5,50,125,0,18.75,143.75,P2,KHALID_NEHAR,0
9/13/2023,"20,052",SP001478,"paint roller 4""",0.75,200,150,0,22.5,172.5,P2,MAJD_ALMAALI,0
9/13/2023,"81,829",SP001457,(7018)welding rod(2.6mm),295,1,295,0,44.25,339.25,P2,HASSAN_SALEH,0
9/17/2023,6797-0001,SP001730,BENDEL MC SHIELDED CABLE 1.5-MM (FIRE ALARMSYSTEM),825,6,4950,0,742.5,5692.5,EXPANSION,ARABIAN_EXPERT,0
9/17/2023,6797-0001,SP001731,BENDEL  MC SHIELDED CABLE 2.5-MM,1980,6,11880,0,1782,13662,EXPANSION,ARABIAN_EXPERT,0
9/17/2023,6797-0001,SP000839,new fan,600,1,600,0,90,690,EXPANSION,ARABIAN_EXPERT,0
9/17/2023,6797-0001,SP001409,socket pitting,3.2,80,256,0,38.4,294.4,EXPANSION,ARABIAN_EXPERT,0
9/17/2023,"140,483",SP000695,"anchor bolt�, 25mm",1.15,200,230,0,34.5,264.5,EXPANSION,ALKHAMASIN,0
9/17/2023,"5,029",SP000842,air fillter,919.1,1,919.1,0,137.865,1056.965,P2,ARCOMA,COMPRESSOR MAINTENANCE
9/18/2023,"82,035",SP001776,SPANNER 24MM (OPEN& CLOSE),22,4,88,0,13.2,101.2,P3,HASSAN_SALEH,0
9/18/2023,"82,035",SP001777,SPANNER 19MM (OPEN& CLOSE),15,2,30,0,4.5,34.5,P3,HASSAN_SALEH,0
9/18/2023,"82,035",SP001778,SPANNER 13MM (OPEN& CLOSE),8,2,16,0,2.4,18.4,P3,HASSAN_SALEH,0
9/18/2023,"82,035",SP001774,12.� RIGHT ANGLE 12� 4 NO�S�� ,35,3,105,0,15.75,120.75,P3,HASSAN_SALEH,0
9/18/2023,"197,612",SP001727,Dimetcote 9,45,100,4500,0,675,5175,TASLEH,OASIS_AMERON,0
9/18/2023,"197,612",SP001767,AM 13 THINNER,10,20,200,0,30,230,TASLEH,OASIS_AMERON,0
9/18/2023,"197,612",SP001768,AM 65 THINNER,10,20,200,0,30,230,TASLEH,OASIS_AMERON,0
9/18/2023,"33,376",SP001444,wd(40)spray,12.29,25,307.25,0,46.0875,353.3375,EXPANSION,KHALID_NEHAR,0
9/18/2023,"33,376",SP001786,Welding shield clear glass,0.45,100,45,0,6.75,51.75,P2,KHALID_NEHAR,0
9/19/2023,"16,330",SP001670,"STATIONARY,REQUIREMENTS",440,1,440,0,66,506,STATIONARY,SALEH_TRADING,0
9/19/2023,"10,010",SP001582,TOPAZ GLOSS ENAMEL,310,5,1550,0,232.5,1782.5,EXPANSION,ALSUHAIMI,0
9/19/2023,"6,905",SP001780,led high bay light 100w,175,25,4375,0,656.25,5031.25,EXPANSION,ATHIER_ABDALLAH,0
9/19/2023,"11,049",SP001779,COVER STEEL,18,80,1440,0,216,1656,EXPANSION,MASAR_ALTAMMER,0
9/19/2023,"23,000,278",SP001702, Welding rod(4mm),55,60,3300,0,495,3795,TASLEH,ABDULLAH_HASHIM,0
9/20/2023,"38,116",SP000256,Bearings  6203.2z/c3,12,36,432,0,64.8,496.8,EXPANSION,INDUSTRIAL SUPPLY,0
9/20/2023,"33,458",SP001429,"(1mm)cutting disc(4.5"")",1.8,400,720,0,108,828,EXPANSION,KHALID_NEHAR,0
9/20/2023,"33,458",SP000252,WIRE BRUSH ,3,24,72,0,10.8,82.8,EXPANSION,KHALID_NEHAR,0
9/20/2023,"33,458",SP001454,welding chipping hammer,10,4,40,0,6,46,EXPANSION,KHALID_NEHAR,0
9/20/2023,"33,458",SP000245, WELDING HOLDER ,40,5,200,0,30,230,EXPANSION,KHALID_NEHAR,0
9/20/2023,"82,116",SP001038,"hole saw 4-1/2""(114mm)",40,2,80,0,12,92,P2,HASSAN_SALEH,0
9/20/2023,"82,116",SP000658,"KW-5.50/ H.P- 7.50, screw pump",55,1,55,0,8.25,63.25,P2,HASSAN_SALEH,0
9/20/2023,"51,177",SP000451,"M/C,banch grinder ",35,2,70,0,10.5,80.5,REALWAY,ARKAN_ALAFIA,0
9/20/2023,"232,481",SP001770,CAMP LOCK TYPE A 3�,2328,1,2328,0,349.2,2677.2,EXPANSION,MOHAMED_ALAWANI,0
9/20/2023,"6,937",SP001405, focus light 400w,180,5,900,0,135,1035,P2,ATHIER_ABDALLAH,0
9/20/2023,"16,353",SP001758,SAFETY&REQUIRES,523,1,523,0,78.45,601.45,SAFETY,SALEH_TRADING,0
9/20/2023,"20,177",SP001758,SAFETY&REQUIRES,640,1,640,0,96,736,SAFETY,MAJD_ALMAALI,0
9/20/2023,"34,144",SP001670,"STATIONARY,REQUIREMENTS",38.26,1,38.26,0,5.739,43.999,STATIONARY,STATIONARY _STORE,0
9/20/2023,815,SP001671,HOUSING REQUIREMENTS,615,1,615,0,92.25,707.25,ACCOMODATION,ALKHAMASIN,0
9/20/2023,"4,148",SP000929,Forklift Diesel Filter,65,20,1300,0,195,1495,P2,SAMEER_BINHUSSAIN,0
9/20/2023,"4,148",SP000928,Forklift Oil Filter,30,20,600,0,90,690,P2,SAMEER_BINHUSSAIN,0
9/21/2023,"197,745",SP001728,AM 878HS aluminum paint,37,60,2220,0,333,2553,TASLEH,OASIS_AMERON,0
9/23/2023,"20,230,624",SP001959,SERVICE,600,1,600,0,90,690,NEW_LAND,ALSALE_EASTERN,0
9/24/2023,"20,212",SP001024,welding gloves ,2.67,120,320.4,0,48.06,368.46,TASLEH,MAJD_ALMAALI,0
9/24/2023,"20,212",SP001024,welding gloves ,8,36,288,0,43.2,331.2,TASLEH,MAJD_ALMAALI,0
9/24/2023,"20,212",SP001064,"paint roller 9""",7.5,10,75,0,11.25,86.25,TASLEH,MAJD_ALMAALI,0
9/24/2023,"16,407",SP001671,HOUSING REQUIREMENTS,122,1,122,0,18.3,140.3,ACCOMODATION,SALEH_TRADING,0
9/24/2023,"82,198",SP001457,(7018)welding rod(2.6mm),1,576,576,0,86.4,662.4,P2,HASSAN_SALEH,0
9/25/2023,"9,898",SP001761,Flat bar 50mm x 3mm x 6mtr,18,113,2034,0,305.1,2339.1,EXPANSION,OTHMAN_ALUSAIMI,0
9/25/2023,"5,041",SP001959,SERVICE,4500,1,4500,0,675,5175,P3,ARCOMA,0
9/25/2023,"5,042",SP001959,SERVICE,4500,1,4500,0,675,5175,P3,ARCOMA,0
9/25/2023,"7,287",SP001959,SERVICE,137.84,1,137.84,0,20.676,158.516,P2,ROWAD_ALMADAR,0
9/25/2023,08-133,SP001959,SERVICE,2710,1,2710,0,406.5,3116.5,P3,SEALAND_MARTIME,0
9/26/2023,"19,184",SP001758,SAFETY&REQUIRES,1610,1,1610,0,241.5,1851.5,SAFETY,EAST_COAST_ADVERTISING,0
9/26/2023,"20,273",SP001758,SAFETY&REQUIRES,21160,1,21160,0,3174,24334,SAFETY,MAJD_ALMAALI,0
9/26/2023,"10,891",SP001763,SHOWER MIXER,80,4,320,0,48,368,P2,GHADAH_FARES,0
9/26/2023,"6,824",SP001649,BRANCH BREAKER 63A 3P��������������� ,98,35,3430,0,514.5,3944.5,EXPANSION,ARABIAN_EXPERT,0
9/26/2023,"6,824",SP001349,"1POLE, CIRCUIT BREAKER , 32A",14.5,60,870,0,130.5,1000.5,EXPANSION,ARABIAN_EXPERT,0
9/26/2023,"6,824",SP000064,"SCHENDIER, RCB BREAKER , 20A",14.5,10,145,0,21.75,166.75,EXPANSION,ARABIAN_EXPERT,0
9/26/2023,"20,271",sp001758,SAFETY&REQUIRES,1165,1,1165,0,174.75,1339.75,SAFETY,MAJD_ALMAALI,0
9/26/2023,"16,436",SP001758,SAFETY&REQUIRES,416,1,416,0,62.4,478.4,SAFETY,SALEH_TRADING,0
9/26/2023,"1,000,180,573",SP001758,SAFETY&REQUIRES,8260,1,8260,0,1239,9499,SAFETY,SLIC_LEATHER,0
9/26/2023,0,SP001670,"STATIONARY,REQUIREMENTS",208,1,208,0,0,208,STATIONARY,PLANET_COPY,0
9/26/2023,"64,888",SP001758,SAFETY&REQUIRES,660,1,660,0,99,759,SAFETY,HEET,0
9/26/2023,"5,048",SP000123,COUPLING CONNECTOR� ,2653.3,1,2653.3,0,397.995,3051.295,P2,ARCOMA,COMPRESSOR MAINTENANCE
9/27/2023,"141,059",SP001547,GAL HEX SCREW 8.8M 12X050,2.55,150,382.5,0,57.375,439.875,DALLA_STORE,ALKHAMASIN,0
9/27/2023,"141,059",SP001548,CLS 8GAL HEX NUT M012,0.55,150,82.5,0,12.375,94.875,DALLA_STORE,ALKHAMASIN,0
9/27/2023,"141,059",SP001549,GAL FLAT WASHER 12X24X1.5,0.15,300,45,0,6.75,51.75,DALLA_STORE,ALKHAMASIN,0
9/27/2023,"38,253",SP000272,Bearings  6311.2z/c3,0,0,0,0,0,0,P2,INDUSTRIAL SUPPLY,RETURNED
9/27/2023,"15,373",SP001781,"ELBOW BMI 90 CL-150 2""",16,30,480,0,72,552,EXPANSION,FIRST_FOUNDATION,0
9/27/2023,"15,373",SP001764,Siphon pipe �� for pressure gauge,128,20,2560,0,384,2944,EXPANSION,FIRST_FOUNDATION,0
9/27/2023,"15,374",SP001800,Brass x nipple �� ,7,12,84,0,12.6,96.6,P3,FIRST_FOUNDATION,0
9/27/2023,"11,111",SP001575,"SASO 2913 (3"")",65134.5,1,65134.5,0,0,65134.5,ALI_KOKO,ALI_KOKO_SUPPLIER,0
9/27/2023,"7,611",SP001694," DI GATE VALVE OS&Y UL/FM 235PSI-4""-SJ",635,1,635,0,95.25,730.25,REALWAY,AMTAR,0
9/27/2023,"7,611",SP001570,"AMT GATE VALVE WITH FLANGE(CL150-1.5"")",400,1,400,0,60,460,REALWAY,AMTAR,0
9/28/2023,08-135,SP001959,SERVICE,2190,1,2190,0,328.5,2518.5,P2,SEALAND_MARTIME,
9/28/2023,"501,534,268",SP001959,SERVICE,501,1,501,50,67.65,518.65,P3,JUFFALI,0
9/30/2023,"9,210",SP001802,Spray paint blue,684,1,684,0,102.6,786.6,P2,TIME_SAFETY,0
9/30/2023,"8,043",SP001681,CRANE KEY LINE 4LINE 250V,85,4,340,0,51,391,P3,MOTOR_SOURCE,0
9/30/2023,"26,054,605",SP001785,1C x 75mm2 cable,55,6,330,0,49.5,379.5,P2,ALBRAIDY,0
9/30/2023,"26,054,605",SP001391,battery clamps,30,2,60,0,9,69,P2,ALBRAIDY,0
9/30/2023,"26,054,605",SP001391,battery clamps,210,1,210,0,31.5,241.5,P2,ALBRAIDY,0
10/1/2023,"17,920",SP000972,coolant water green ,195,2,390,0,58.5,448.5,P2,ALFAQAS,0
10/1/2023,"141,331",SP001547,GAL HEX SCREW 8.8M 12X050,2.55,150,382.5,0,57.375,439.875,DALLA_STORE,ALKHAMASIN,0
10/1/2023,"141,331",SP001548,CLS 8GAL HEX NUT M012,0.55,150,82.5,0,12.375,94.875,DALLA_STORE,ALKHAMASIN,0
10/1/2023,"141,331",SP001549,GAL FLAT WASHER 12X24X1.5,0.15,300,45,0,6.75,51.75,DALLA_STORE,ALKHAMASIN,0
10/1/2023,"141,332",SP001549,GAL FLAT WASHER 12X24X1.5,5890,1,5890,0,883.5,6773.5,EXPANSION,ALKHAMASIN,0
10/2/2023,"3,929",SP001782,1. 8 pin finder relay 220 v with base,80,4,320,0,48,368,P2,INDUSTRIAL_ELECTRICAL,0
10/2/2023,"231,398",SP000493,"M.S, Ball Valve, 2.0?",300,10,3000,0,450,3450,P2,SAHR_GLOBAL,0
10/2/2023,"231,398",SP000824,"flanged gate valve, 1.00?",500,4,2000,0,300,2300,EXPANSION,SAHR_GLOBAL,0
10/4/2023,"23,566",SP001503,Rubber insulation ac,27.222,9,244.998,0,36.7497,281.7477,P2,MARIAM_AHMED,0
10/4/2023,"82,581",SP000184,"INSULATING GLUE, 4ltr",8,45,360,0,54,414,P2,HASSAN_SALEH,0
10/5/2023,"15,542",SP001601,"CS EQUAL TEE SCH40 4""",42,80,3360,0,504,3864,EXPANSION,FIRST_FOUNDATION,0
10/5/2023,"16,574",SP001758,SAFETY&REQUIRES,635,1,635,0,95.25,730.25,SAFETY,SALEH_TRADING,0
10/5/2023,"501,534,457",SP001959,SERVICE,1313.24,1,1313.24,0,196.986,1510.226,P3,JUFFALI,0
10/5/2023,"11,027",SP000843,water pump ,185,2,370,0,55.5,425.5,ACCOMODATION,GADAH_FARES,0
10/5/2023,"11,027",SP001411,automatic water pump control pressure switch,125,2,250,0,37.5,287.5,ACCOMODATION,GADAH_FARES,0
10/5/2023,"11,027",SP001784,WATER HEATER 100 LITTER,410,3,1230,0,184.5,1414.5,ACCOMODATION,GADAH_FARES,0
10/7/2023,"15,572",SP000316,"elbow thread type, 1.0?",12,24,288,0,43.2,331.2,P3,FIRST_FOUNDATION,0
10/7/2023,"38,450",SP001807,Forklift belt,35,4,140,0,21,161,P2,INDUSTRIAL_SUPPLY,0
10/7/2023,"38,450",SP001670,"STATIONARY,REQUIREMENTS",32,2,64,0,9.6,73.6,STATIONARY,INDUSTRIAL_SUPPLY,0
10/7/2023,"29,421",SP001959,SERVICE,5,80,400,0,60,460,EXPANSION,ALASHRAK,0
10/7/2023,"16,595",SP001758,SAFETY&REQUIRES,362,1,362,0,54.3,416.3,SAFETY,SALEH_TRADING,0
10/7/2023,"2,859",SP001758,SAFETY&REQUIRES,85,1,85,0,12.75,97.75,SAFETY,ALSUBAITY,0
10/8/2023,"16,618",sp001758,SAFETY&REQUIRES,180,1,180,0,27,207,SAFETY,SALEH_TRADING,0
10/8/2023,656,SP001670,"STATIONARY,REQUIREMENTS",380,3,1140,0,0,1140,STATIONARY,SAEED_ABDULLAH,0
10/8/2023,"4,745",SP001620,UNGLAV STEEL WIRE ROPE 14MM,1365,1,1365,0,204.75,1569.75,EXPANSION,GULF_LIFT,0
10/8/2023,"11,073",SP000637,"  EMT BOX (10x10) 4""x4"" ",325,1,325,0,48.75,373.75,EXPANSION,GADAH_FARES,0
10/8/2023,"82,736",SP001670,"STATIONARY,REQUIREMENTS",6,6,36,0,5.4,41.4,P3,HASSAN_SALEH,0
10/8/2023,"558,907",SP001057,"teflon gasket,2.0",300,34.0959,10228.77,0,1534.3155,11763.0855,EXPANSION,ALIMAN_FACTORIES,0
10/10/2023,"6,899",SP001350,"1POLE, CIRCUIT BREAKER , 16A",13.66,10,136.6,0,20.49,157.09,P2,ARABIAN_EXPERT,0
10/10/2023,"6,899",SP001345,"2POLE, CIRCUIT BREAKER , 20A",13.66,10,136.6,0,20.49,157.09,P2,ARABIAN_EXPERT,0
10/10/2023,"6,899",SP001349,"1POLE, CIRCUIT BREAKER , 32A",13.66,10,136.6,0,20.49,157.09,P2,ARABIAN_EXPERT,0
10/10/2023,"82,823",SP001790,"Welding Rod 6013, 2.6mm",65,8,520,0,78,598,REALWAY,HASSAN_SALEH,0
10/10/2023,"16,655",SP001670,"STATIONARY,REQUIREMENTS",90,1,90,0,13.5,103.5,STATIONARY,SALEH_TRADING,0
10/10/2023,"1,701",SP001670,"STATIONARY,REQUIREMENTS",1909,1,1909,0,286.35,2195.35,STATIONARY,TASAHL_ALKHAYR,0
10/11/2023,"202,300,000,835",SP001671,HOUSING REQUIREMENTS,95,1,95,0,14.25,109.25,ACCOMODATION,ALKHAMASIN,0
10/11/2023,"16,670",SP001671,HOUSING REQUIREMENTS,212,1,212,0,31.8,243.8,ACCOMODATION,SALEH_TRADING,0
10/11/2023,"82,676",SP001610,HEMPELS TRAFFIC AIRFIELD PAINT,550,4,2200,0,330,2530,P3,ALSUHAIMI,0
10/11/2023,"82,676",SP001610,HEMPELS TRAFFIC AIRFIELD PAINT,485,1,485,0,72.75,557.75,P3,ALSUHAIMI,0
10/12/2023,"82,923",SP001671,HOUSING REQUIREMENTS,125,1,125,0,18.75,143.75,ACCOMODATION,HASSAN_SALEH,0
10/12/2023,"38,597",SP000272,Bearings  6311.2z/c3,130,2,260,0,39,299,P2,INDUSTRIAL_SUPPLY,0
10/12/2023,"15,703",SP001827,"CS EQUAL TEE SCH40 4""",95,6,570,0,85.5,655.5,EXPANSION,FIRST_FOUNDATION,0
10/12/2023,"16,688",SP001670,"STATIONARY,REQUIREMENTS",34.8,1,34.8,0,5.22,40.02,STATIONARY,SALEH_TRADING,0
10/14/2023,"38,616",SP001835,MECHANICAL SEAL MG12-22MM,140,2,280,0,42,322,P2,INDUSTRIAL_SUPPLY,0
10/14/2023,"142,225",SP001828,GAL HEX SCREW 8.8M 16X060,2.2,500,1100,0,165,1265,EXPANSION,ALKHAMASIN,0
10/14/2023,"142,225",SP001829,GAL HEX SCREW 8.8M 16X080,2.3,500,1150,0,172.5,1322.5,EXPANSION,ALKHAMASIN,0
10/14/2023,"142,225",SP001831,CLS 8GAL HEX NUT M016,0.3,1000,300,0,45,345,EXPANSION,ALKHAMASIN,0
10/14/2023,"142,225",SP001833,GAL FLAT WASHER 16X30X30,0.1,2000,200,0,30,230,EXPANSION,ALKHAMASIN,0
10/14/2023,"142,225",SP001830,GAL HEX SCREW 8.8M 18X090,2.4,500,1200,0,180,1380,EXPANSION,ALKHAMASIN,0
10/14/2023,"142,225",SP001832,CLS 8GAL HEX NUT M018,0.5,500,250,0,37.5,287.5,EXPANSION,ALKHAMASIN,0
10/14/2023,"142,225",SP001834,GAL FLAT WASHER 18X34X3,0.2,1000,200,0,30,230,EXPANSION,ALKHAMASIN,0
